2025-01-17_13-04-18 | Marina | adittion_b2 | 198 |  | 426
2025-01-17_13-04-32 | Marina | adittion_b2 | 167 |  | 209
2025-01-17_13-04-46 | Marina | adittion_b2 | 187 |  | 424
2025-01-17_13-05-02 | Marina | adittion_b2 | 11 |  | 274
2025-01-17_13-05-23 | Marina | adittion_b2 | 235 |  | 997
2025-01-17_13-05-47 | Marina | adittion_b2 | 248 |  | 474
2025-01-17_13-05-54 | Marina | adittion_b2 | 289 |  | 884
2025-01-17_13-06-00 | Marina | num_lettre_v1 | 0 |  | un
2025-01-17_13-06-05 | Marina | num_lettre_v1 | 1 |  | deux
2025-01-17_13-06-10 | Marina | num_lettre_v1 | 2 |  | trois
2025-01-17_13-06-18 | Marina | num_lettre_v1 | 3 |  | quatre
2025-01-17_13-06-24 | Marina | num_lettre_v1 | 4 |  | cinq
2025-01-17_13-06-38 | Marina | dict_mg_v4 | 30 |  | Mahamasina
2025-01-17_13-06-48 | Marina | dict_mg_v4 | 35 |  | Shell
2025-01-17_13-07-13 | Marina | dict_mg_v4 | 3 |  | Rova
2025-01-17_13-07-23 | Marina | dict_mg_v4 | 22 |  | TELMA
2025-01-17_13-07-37 | Marina | dict_mg_v4 | 15 |  | Ampefiloha
2025-01-17_13-07-44 | Marina | dict_mg_v4 | 7 |  | Anosy
2025-01-17_13-07-58 | Marina | dict_mg_v4 | 3 |  | Rova
2025-01-17_13-08-09 | Marina | dict_mg_v4 | 21 |  | Antananarivo
2025-01-17_13-08-19 | Marina | dict_mg_v4 | 19 |  | Soarano
2025-01-17_13-08-28 | Marina | dict_mg_v4 | 1 |  | Antsirabe
2025-01-17_13-08-36 | Marina | addition_3ch_hor | 0 | 0+0+0=0 | 0
2025-01-17_13-08-51 | Marina | addition_3ch_hor | 1 | 0+0+0=0 | 0
2025-01-17_13-09-01 | Marina | addition_3ch_hor | 2 | 0+0+0=0 | 0
2025-01-17_13-09-07 | Marina | addition_3ch_hor | 3 | 0+0+0=0 | 0
2025-01-17_13-09-12 | Marina | addition_3ch_hor | 4 | 0+0+0=0 | 0
2025-01-17_13-09-21 | Marina | addition_2ch_ver | 0 | 9+27=36 | 36
2025-01-17_13-09-33 | Marina | addition_2ch_ver | 1 | 55+65=120 | 120
2025-01-17_13-09-40 | Diso | addition_2ch_ver | 2 | 15+65=80 | 70
2025-01-17_13-09-54 | Marina | addition_2ch_ver | 2 | 15+65=80 | 80
2025-01-17_13-10-01 | Marina | addition_2ch_ver | 3 | 5+40=45 | 45
2025-01-17_13-10-12 | Marina | addition_2ch_ver | 4 | 24+19=43 | 43
2025-01-17_13-10-18 | Marina | addition_2ch_ver | 5 | 31+50=81 | 81
2025-01-17_13-39-00 | Marina | addition_3ch_hor | 0 | 0+0+0=0 | 0
2025-01-17_13-39-03 | Marina | addition_3ch_hor | 1 | 0+0+0=0 | 0
2025-01-17_13-39-06 | Marina | addition_3ch_hor | 2 | 0+0+0=0 | 0
2025-01-17_13-39-08 | Marina | addition_3ch_hor | 3 | 0+0+0=0 | 0
2025-01-17_13-39-11 | Marina | addition_3ch_hor | 4 | 0+0+0=0 | 0
2025-01-17_13-39-42 | Marina | addition_3ch_hor | 0 | 6+5+1=12 | 12
2025-01-17_13-39-54 | Marina | addition_3ch_hor | 1 | 1+6+8=15 | 15
2025-01-17_13-39-59 | Marina | addition_3ch_hor | 2 | 5+5+5=15 | 15
2025-01-17_13-40-04 | Marina | addition_3ch_hor | 3 | 3+2+6=11 | 11
2025-01-17_13-40-11 | Marina | addition_3ch_hor | 4 | 1+1+9=11 | 11
2025-01-17_15-31-29 | Marina | addition_3ch_hor | 0 | 2+0+9=11 | 11
2025-01-17_15-31-35 | Marina | addition_3ch_hor | 1 | 2+5+5=12 | 12
2025-01-17_15-31-45 | Marina | addition_3ch_hor | 2 | 2+4+7=13 | 13
2025-01-17_15-32-20 | Marina | addition_3ch_hor | 3 | 9+5+2=16 | 16
2025-01-17_15-32-34 | Marina | addition_3ch_hor | 4 | 8+0+2=10 | 10
2025-01-17_15-33-48 | Marina | Addition_vola_1 | 17 |  | 5500
2025-01-17_15-33-57 | Marina | Addition_vola_1 | 28 |  | 4000
2025-01-17_15-34-02 | Marina | Addition_vola_1 | 25 |  | 2200
2025-01-17_15-34-07 | Marina | Addition_vola_1 | 0 |  | 200
2025-01-17_15-34-14 | Marina | Addition_vola_1 | 11 |  | 5200
2025-01-17_15-34-35 | Marina | dict_mg_v4 | 21 |  | Antananarivo
2025-01-17_15-35-18 | Marina | dict_mg_v4 | 20 |  | Madagasikara
2025-01-17_15-35-32 | Marina | dict_mg_v4 | 16 |  | Fasan'ny karana
2025-01-17_15-35-50 | Marina | dict_mg_v4 | 28 |  | Andry RAJOELINA
2025-01-17_15-36-00 | Marina | dict_mg_v4 | 6 |  | Ambohijatovo
2025-01-17_15-36-06 | Marina | dict_mg_v4 | 7 |  | Anosy
2025-01-17_15-36-16 | Marina | dict_mg_v4 | 17 |  | 194
2025-01-17_15-36-23 | Marina | dict_mg_v4 | 3 |  | Rova
2025-01-17_15-36-30 | Marina | dict_mg_v4 | 24 |  | Orange
2025-01-17_15-36-42 | Marina | dict_mg_v4 | 3 |  | Rova
2025-01-17_15-36-51 | Marina | addition_3ch_hor | 0 | 7+4+8=19 | 19
2025-01-17_15-36-56 | Marina | addition_3ch_hor | 1 | 8+1+3=12 | 12
2025-01-17_15-37-01 | Marina | addition_3ch_hor | 2 | 6+0+0=6 | 6
2025-01-17_15-37-13 | Marina | addition_3ch_hor | 3 | 9+7+6=22 | 22
2025-01-17_15-37-24 | Marina | addition_3ch_hor | 4 | 8+4+5=17 | 17
2025-01-17_15-37-31 | Marina | dict_mg_v2 | 4 |  | seza
2025-01-17_15-37-39 | Marina | dict_mg_v2 | 9 |  | menaka
2025-01-17_15-37-47 | Marina | dict_mg_v2 | 16 |  | trondro
2025-01-17_15-37-53 | Marina | dict_mg_v2 | 1 |  | vilia
2025-01-17_15-38-01 | Marina | dict_mg_v2 | 10 |  | tsaramaso
2025-01-17_15-38-07 | Marina | num_lettre_v1 | 0 |  | un
2025-01-17_15-38-11 | Marina | num_lettre_v1 | 1 |  | deux
2025-01-17_15-38-17 | Marina | num_lettre_v1 | 2 |  | trois
2025-01-17_15-38-22 | Marina | num_lettre_v1 | 3 |  | quatre
2025-01-17_15-38-27 | Marina | num_lettre_v1 | 4 |  | cinq
2025-01-17_15-38-47 | Marina | adittion_b2 | 300 |  | 854
2025-01-17_15-38-57 | Marina | adittion_b2 | 56 |  | 606
2025-01-17_15-39-07 | Marina | adittion_b2 | 196 |  | 777
2025-01-17_15-39-23 | Marina | adittion_b2 | 150 |  | 274
2025-01-17_15-39-40 | Marina | adittion_b2 | 262 |  | 737
2025-01-17_15-39-59 | Marina | adittion_b2 | 119 |  | 760
2025-01-17_15-40-14 | Diso | adittion_b2 | 70 |  | 991
2025-01-17_15-40-49 | Marina | adittion_b2 | 70 |  | 891
2025-01-17_15-41-05 | Marina | adittion_b2 | 64 |  | 690
2025-01-17_15-41-23 | Marina | adittion_b2 | 185 |  | 307
2025-01-17_15-42-11 | Marina | adittion_b2 | 265 |  | 563
2025-01-17_15-42-23 | Marina | vola_moins_isa1 | 21 |  | 1200
2025-01-17_15-42-31 | Marina | vola_moins_isa1 | 1 |  | 400
2025-01-17_15-42-37 | Marina | vola_moins_isa1 | 1 |  | 400
2025-01-17_15-42-42 | Marina | vola_moins_isa1 | 33 |  | 4000
2025-01-17_15-42-52 | Marina | vola_moins_isa1 | 13 |  | 100
2025-01-17_15-43-04 | Marina | addition_1p2p3 | 128 |  | 22
2025-01-17_15-43-23 | Marina | addition_1p2p3 | 95 |  | 16
2025-01-17_15-43-31 | Marina | addition_1p2p3 | 83 |  | 13
2025-01-17_15-43-42 | Marina | addition_1p2p3 | 291 |  | 14
2025-01-17_15-43-58 | Marina | addition_1p2p3 | 10 |  | 9
2025-01-17_15-44-22 | Marina | addition_2ch_ver | 0 | 16+88=104 | 104
2025-01-17_15-44-31 | Marina | addition_2ch_ver | 1 | 7+66=73 | 73
2025-01-17_15-44-38 | Marina | addition_2ch_ver | 2 | 42+27=69 | 69
2025-01-17_15-44-48 | Marina | addition_2ch_ver | 3 | 72+76=148 | 148
2025-01-17_15-45-03 | Marina | addition_2ch_ver | 4 | 75+18=93 | 93
2025-01-17_18-47-21 | Marina | dict_mg_v2 | 16 |  | trondro
2025-01-17_18-47-30 | Marina | dict_mg_v2 | 13 |  | kitoza
2025-01-17_18-47-37 | Marina | dict_mg_v2 | 20 |  | rano
2025-01-17_18-47-49 | Marina | dict_mg_v2 | 7 |  | akondro
2025-01-17_18-48-01 | Marina | dict_mg_v2 | 3 |  | latabatra
2025-01-17_18-48-13 | Marina | vola_moins_isa1 | 4 |  | 100
2025-01-17_18-48-29 | Marina | vola_moins_isa1 | 24 |  | 4900
2025-01-17_18-48-48 | Marina | vola_moins_isa1 | 14 |  | 1900
2025-01-17_18-49-02 | Marina | vola_moins_isa1 | 12 |  | 200
2025-01-17_18-49-16 | Marina | vola_moins_isa1 | 0 |  | 100
2025-01-17_18-49-29 | Marina | dict_mg_v4 | 12 |  | Ankatso
2025-01-17_18-49-36 | Marina | dict_mg_v4 | 17 |  | 194
2025-01-17_18-49-53 | Marina | dict_mg_v4 | 15 |  | Ampefiloha
2025-01-17_18-50-10 | Marina | dict_mg_v4 | 27 |  | Jovenna
2025-01-17_18-50-38 | Marina | dict_mg_v4 | 25 |  | Galana
2025-01-17_18-50-53 | Marina | dict_mg_v4 | 20 |  | Madagasikara
2025-01-17_18-51-03 | Marina | dict_mg_v4 | 27 |  | Jovenna
2025-01-17_18-51-27 | Marina | dict_mg_v4 | 17 |  | 194
2025-01-17_18-51-39 | Marina | dict_mg_v4 | 30 |  | Mahamasina
2025-01-17_18-51-51 | Marina | dict_mg_v4 | 14 |  | SHOPRITE
2025-01-17_18-52-35 | Diso | adittion_b2 | 53 |  | 485
2025-01-17_18-53-23 | Marina | adittion_b2 | 53 |  | 385
2025-01-17_18-54-23 | Diso | adittion_b2 | 217 |  | 427
2025-01-17_18-54-54 | Marina | adittion_b2 | 217 |  | 527
2025-01-17_18-55-13 | Marina | adittion_b2 | 212 |  | 981
2025-01-17_18-55-25 | Marina | adittion_b2 | 105 |  | 268
2025-01-17_18-55-53 | Marina | adittion_b2 | 72 |  | 603
2025-01-17_18-56-26 | Marina | adittion_b2 | 38 |  | 199
2025-01-17_18-57-21 | Marina | adittion_b2 | 139 |  | 592
2025-01-17_18-57-32 | Marina | adittion_b2 | 115 |  | 797
2025-01-17_18-57-54 | Marina | adittion_b2 | 236 |  | 910
2025-01-17_18-58-28 | Marina | adittion_b2 | 163 |  | 615
2025-01-17_18-58-38 | Marina | Addition_vola_1 | 12 |  | 600
2025-01-17_18-58-43 | Marina | Addition_vola_1 | 9 |  | 1200
2025-01-17_18-58-49 | Marina | Addition_vola_1 | 24 |  | 2100
2025-01-17_18-58-55 | Marina | Addition_vola_1 | 23 |  | 6000
2025-01-17_18-59-01 | Marina | Addition_vola_1 | 2 |  | 600
2025-01-17_18-59-17 | Marina | num_lettre_v1 | 0 |  | un
2025-01-17_18-59-23 | Marina | num_lettre_v1 | 1 |  | deux
2025-01-17_18-59-29 | Marina | num_lettre_v1 | 2 |  | trois
2025-01-17_18-59-34 | Marina | num_lettre_v1 | 3 |  | quatre
2025-01-17_18-59-39 | Marina | num_lettre_v1 | 4 |  | cinq
2025-01-17_18-59-49 | Marina | addition_1p2p3 | 329 |  | 25
2025-01-17_18-59-58 | Marina | addition_1p2p3 | 263 |  | 19
2025-01-17_19-00-06 | Marina | addition_1p2p3 | 132 |  | 17
2025-01-17_19-00-14 | Marina | addition_1p2p3 | 133 |  | 18
2025-01-17_19-00-25 | Marina | addition_1p2p3 | 146 |  | 16
